Novak Djokovic,Andy Murray,7,3:0,1.2,5,2.1,3.5,7,13,12,8.5

Novak Djokovic,Roger Federer,6,3:1,1.3,3.5,2.37,3.5,6.5,9.5,8.5,9
Milos Raonic,Andy Murray,6,2:3,3.25,1.36,9,8,8.5,2.62,3.75,6.5

Novak Djokovic,Kei Nishikori,5,3:0,1.12,6,1.72,3.75,8,19,15,13
Roger Federer,Tomas Berdych,5,3:0,1.16,5,1.9,3.75,7.5,15,12,12
Gael Monfils,Milos Raonic,5,1:3,3.25,1.36,9,8,8.5,2.37,3.75,6.5
David Ferrer,Andy Murray,5,1:3,5,1.16,15,12,11,1.9,3.75,7.5

Novak Djokovic,Gilles Simon,4,3:2,1.01,21,1.25,4.33,13,51,34,29
Jo-Wilfried Tsonga,Kei Nishikori,4,0:3,2.1,1.72,5,5,6.5,4,4.5,6
Roger Federer,David Goffin,4,3:0,1.04,13,1.4,4,10,34,26,23
Roberto Bautista Agut,Tomas Berdych,4,2:3,4,1.25,11,9,9.5,2.2,3.75,6.5
Andrey Kuznetsov,Gael Monfils,4,1:3,4,1.25,12,10,10,2.1,3.75,7
Milos Raonic,Stan Wawrinka,4,3:2,2.37,1.57,6,6,7,3.5,4.33,6
David Ferrer,John Isner,4,3:0,1.5,2.62,3,4,6,7,6.5,7.5
Bernard Tomic,Andy Murray,4,0:3,8,1.08,23,19,17,1.5,3.75,9

Novak Djokovic,Andreas Seppi,3,3:0,1.01,26,1.2,4.5,15,67,41,34
Federico Delbonis,Gilles Simon,3,0:3,5,1.16,15,12,12,1.9,3.75,7.5
Jo-Wilfried Tsonga,Pierre-Hugues Herbert,3,3:0,1.08,8,1.53,3.75,9,23,19,17
Guillermo Garcia-Lopez,Kei Nishikori,3,1:3,10,1.06,34,26,23,1.4,4,10
Roger Federer,Grigor Dimitrov,3,3:1,1.08,7.5,1.57,3.75,8.5,23,19,17
Dominic Thiem,David Goffin,3,1:3,1.53,2.37,3.2,4,6,6.5,6,7
Marin Cilic,Roberto Bautista Agut,3,0:3,1.33,3.4,2.37,3.75,6.5,9.5,8,8.5
Nick Kyrgios,Tomas Berdych,3,1:3,2.2,1.66,5.5,5.5,6.5,3.75,4.33,6
Dudi Sela,Andrey Kuznetsov,3,1:3,2.75,1.44,8,7,8,2.75,4,6
Gael Monfils,Stephane Robert,3,3:0,1.06,10,1.5,3.75,9.5,26,21,19
Milos Raonic,Viktor Troicki,3,3:0,1.2,4.5,2,3.75,7,13,11,11
Lukas Rosol,Stan Wawrinka,3,0:3,9,1.07,23,19,17,1.53,3.75,9
David Ferrer,Steve Johnson,3,3:0,1.22,4.33,2,3.75,7,13,11,11
Feliciano Lopez,John Isner,3,1:3,2.75,1.44,7,6.5,7.5,2.87,4,6
Bernard Tomic,John Millman,3,3:0,1.12,6,1.72,3.75,8,19,15,13
Joao Sousa,Andy Murray,3,1:3,23,1.01,51,41,29,1.25,4.5,13
